en_data,en_tokenized,en_idized,en_len,ref0,ref1,ref2,ref3,ref4,pred
"We believe that the European Union can make an impact , but only if it speaks with one voice and if it is equipped with appropriate instruments like those stemming from the Lisbon Treaty and a more generous budget .","['we', 'believe', 'that', 'the', 'european', 'union', 'can', 'make', 'an', 'impact', ',', 'but', 'only', 'if', 'it', 'speaks', 'with', 'one', 'voice', 'and', 'if', 'it', 'is', 'equipped', 'with', 'appropriate', 'instruments', 'like', 'those', 'stemming', 'from', 'the', 'lisbon', 'treaty', 'and', 'a', 'more', 'generous', 'budget', '.']","[53, 509, 17, 5, 30493, 3863, 46, 116, 42, 1365, 4, 44, 103, 79, 23, 5093, 22, 58, 1424, 7, 79, 23, 13, 3066, 22, 1723, 5017, 71, 173, 26752, 37, 5, 100014, 10669, 7, 10, 57, 5710, 1787, 6, 1]",41,"We believe the EU can make an impact , but only if it speaks as one and is equipped with appropriate instruments like from the Lisbon Treaty and a bigger budget .",but only if it speaks with one voice and if it is equipped with appropriate instrument,"We believe the European Union can make an impact , but only if it speaks with one voice and if it is equipped with appropriate instruments like those stemming from the Lisbon Treaty and a more generous budget .","We believe the EU can make an impact , but only if it speaks as one and is equipped with appropriate instruments like from the Lisbon Treaty and a bigger budget .",the UN can make an impact but needs proper tools and a better budget,"we believe that the european union can make an impact , but only if one speaks and if it is equipped with the treaty of lisbon treaty ."
The figures are worse in Africa and parts of Asia,"['the', 'figures', 'are', 'worse', 'in', 'africa', 'and', 'parts', 'of', 'asia']","[5, 2190, 28, 2269, 12, 31342, 7, 961, 9, 43157, 1]",11,It is worse in Africa and parts of Asia,The figures are worse in Africa and parts of Asia,The figures are worse in Africa and Asia,It is worse in Africa and parts of Asia,The numbers are worse in Africa and Asia,the figures are worst enough .
The euro is the tangible result of EMU .,"['the', 'euro', 'is', 'the', 'tangible', 'result', 'of', 'emu', '.']","[5, 12265, 13, 5, 14792, 640, 9, 77210, 6, 1]",10,EMU results in the tangible Euro,The Euro is a tangible result .,Euro is a tangible result of EMU,EMU results in the tangible Euro,The Euro is the result of EMU,the euro is the result .
"Some years ago ,","['some', 'years', 'ago', ',']","[89, 128, 361, 4, 1]",5,"Some years ago ,",Years ago,Some years ago .,"Some years ago ,","Years ago ,",some years
I have always believed that it is vital that Britain plays a committed role as a central player in the European Union .,"['i', 'have', 'always', 'believed', 'that', 'it', 'is', 'vital', 'that', 'britain', 'plays', 'a', 'committed', 'role', 'as', 'a', 'central', 'player', 'in', 'the', 'european', 'union', '.']","[202, 36, 256, 2719, 17, 23, 13, 4672, 17, 80920, 1984, 10, 2674, 830, 27, 10, 1691, 890, 12, 5, 30493, 3863, 6, 1]",24,I always that it is vital that Britain plays a committed role as a central player in the EU .,It is vital that Great Britain play a committed role as a central actor in the EU :,I believe that Britain should be a central player in the European Union .,I always that it is vital that Britain plays a committed role as a central player in the EU .,central player in the European Union,i have always believed that the united kingdom plays a leading role in the eu .
We call for the suspension of the European Union fisheries agreement .,"['we', 'call', 'for', 'the', 'suspension', 'of', 'the', 'european', 'union', 'fisheries', 'agreement', '.']","[53, 506, 16, 5, 6267, 9, 5, 30493, 3863, 22820, 2117, 6, 1]",13,Suspension of the EU fisheries agreement is called for .,We request   suspension of the European Union fisheries agreement .,We call for suspension of the EU fisheries agreement,Suspension of the EU fisheries agreement is called for .,We want to suspend the European Union fisheries agreement .,we are calling for the eu fisheries .
I did n't want to stand out in the crowd any more .,"['i', 'did', ""n't"", 'want', 'to', 'stand', 'out', 'in', 'the', 'crowd', 'any', 'more', '.']","[202, 190, 100342, 170, 8, 1316, 65, 12, 5, 3165, 105, 57, 6, 1]",14,I did n’t want to stand out any more,I no longer chose to stand out publicly .,I do n't want to me noticed in a crowd .,I did n’t want to stand out any more,I want to blend in with the crowd .,i myself wish to express my support for .
"The Europol Management Board comprises one representative from each Member State , and has the overall task of supervising the activities of the organisation .","['the', 'europol', 'management', 'board', 'comprises', 'one', 'representative', 'from', 'each', 'member', 'state', ',', 'and', 'has', 'the', 'overall', 'task', 'of', 'supervising', 'the', 'activities', 'of', 'the', 'organisation', '.']","[5, 100020, 895, 955, 6141, 58, 4243, 37, 208, 682, 351, 4, 7, 51, 5, 1413, 2508, 9, 29411, 5, 1089, 9, 5, 6002, 6, 1]",26,"The Europol Management Board comprises one representative from each Member State , and has the task of supervising organisation activities .",The Europol Management Board has one representative from each Member State and supervises the activities of the organization .,"The Europol Management Board comprises one representative from each Member State , and has the task of supervising the organisation .","The Europol Management Board comprises one representative from each Member State , and has the task of supervising organisation activities .","The Europol magagement board comprises one representative from each member State , and has the overall of supervising the activities of the organisation .",the europol management committee includes a representative of each member state and its overall task control .
The introduction of the euro is a milestone in the development of the Union and the biggest monetary changeoverin history .,"['the', 'introduction', 'of', 'the', 'euro', 'is', 'a', 'milestone', 'in', 'the', 'development', 'of', 'the', 'union', 'and', 'the', 'biggest', 'monetary', 'changeoverin', 'history', '.']","[5, 4017, 9, 5, 12265, 13, 10, 13143, 12, 5, 614, 9, 5, 3863, 7, 5, 1847, 9184, 2, 504, 6, 1]",22,The Euro is a milestone in the development of the Union and the biggest change over in history,The monetary changeover and development of the Union   was due to the introducing the Euro,The introduction of the Euro was a milestone .,The Euro is a milestone in the development of the Union and the biggest change over in history,the introduction of the Euro is a milestone in the improvement of the biggest monetary changeover in history,the introduction of the euro is a progress in the eu 's development .
In to replace these chemicals with others that are more benign the equipment in which they are used like freezers coolers units for foam plastic production must be substituted for new ones .,"['in', 'to', 'replace', 'these', 'chemicals', 'with', 'others', 'that', 'are', 'more', 'benign', 'the', 'equipment', 'in', 'which', 'they', 'are', 'used', 'like', 'freezers', 'coolers', 'units', 'for', 'foam', 'plastic', 'production', 'must', 'be', 'substituted', 'for', 'new', 'ones', '.']","[12, 8, 2644, 130, 6622, 22, 454, 17, 28, 57, 19865, 5, 1482, 12, 63, 54, 28, 171, 71, 57364, 34475, 1933, 16, 7290, 2500, 975, 286, 32, 16198, 16, 96, 941, 6, 1]",34,"This would entail replacing freezers , cooler units and other equipment which presently use CFCs with new ones .","To replace these chemicals with others that are more benign , the equipment in which they are used must be replaced .",To replace these chemicals with others more innocent . The equipment must be replaced too .,"This would entail replacing freezers , cooler units and other equipment which presently use CFCs with new ones .",replace these chemicals with others   plastic production must be substituted for new ones,"to replace these substances with others who are more environmentally used as battery plants , battery units must be replaced for new ."
